City,chokehold_ban,descalate,reporting,intervention,tech,violence,moving_vehicle
Albuquerque,3,7,7,3,1,13,4
Anaheim,1,4,9,2,0,15,3
Anchorage,5,11,16,10,5,23,5
Arlington,3,6,7,3,2,14,3
Atlanta,1,4,6,3,0,12,1
Austin,7,10,16,9,5,23,5
Baltimore,6,5,4,2,0,14,3
Boston,1,3,6,3,0,10,2
Chandler,2,5,2,1,0,16,1
Chicago,6,5,10,4,0,14,3
Cincinnati,4,6,11,4,3,18,3
Columbus,0,3,11,2,1,14,4
Dallas,2,7,9,4,3,18,3
Detroit,6,7,6,2,0,17,4
Glendale,3,6,8,3,2,18,2
Henderson,1,7,10,3,2,19,4
Indianapolis,1,2,9,3,1,14,3
Irvine,0,5,8,5,0,10,1
LasVegas,3,8,13,4,2,17,5
LongBeach,2,4,7,0,0,9,2
Memphis,0,4,8,3,1,16,3
Milwaukee,0,5,10,4,1,13,4
Nashville,2,6,11,5,1,16,4
NewOrleans,3,8,11,4,1,15,3
Orlando,2,6,11,3,3,15,4
Philadelphia,3,6,11,2,2,15,3
Plano,3,4,9,3,2,18,3
Raleigh,4,4,4,2,2,19,4
Reno,0,2,4,2,1,10,3
Riverside,5,6,7,2,0,18,3
Rochester,1,3,9,3,1,16,3
Sacramento,0,6,10,4,0,17,4
SanAntonio,1,6,9,2,2,17,3
SanDiego,4,5,5,1,2,14,4
SantaAna,1,4,5,3,0,10,2
Scottsdale,3,4,12,2,2,15,3
Spokane,3,11,16,7,5,23,5
StPaul,2,7,9,2,2,18,4
StPetersburg,2,5,9,3,0,15,4
